Mass	C	H	O	N	C13	S	P	Na	El_comp	Class	NeutralMass	Error_ppm	Candidates	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	CS13	C14	C15	C16	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
98.656748	0	0	0	0	0	0	0	0		None	99.66402447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1099265.6	0
98.833389	0	0	0	0	0	0	0	0		None	99.84066547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1312224.8	0	0	0	0
98.833638	0	0	0	0	0	0	0	0		None	99.84091447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128301.9
98.85848	0	0	0	0	0	0	0	0		None	99.86575647	0	0	0	0	0	0	0	1381438.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99.038681	0	0	0	0	0	0	0	0		None	100.0459575	0	0	0	0	0	0	0	0	0	0	1046645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99.0392865	0	0	0	0	0	0	0	0		None	100.046563	0	0	0	0	0	0	0	0	0	0	1382581.3	0	0	0	0	0	1446219.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99.0398728	0	0	0	0	0	0	0	0		None	100.0471493	0	0	0	0	0	0	0	0	1213464	0	2534018	0	0	0	1814012.6	0	1728579.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1115018.9	0
100.418494	0	0	0	0	0	0	0	0		None	101.4257705	0	0	1496647.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1598143.8	0
100.4186245	0	0	0	0	0	0	0	0		None	101.425901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102.244264	0	0	0	0	0	0	0	0		None	103.2515405	0	0	1300389.1	0	0	0	0	0	0	0	1393429.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
