Sample_ID	Sample name	Horizon	Treatment	T_H	Sample.ID	wMT
H1	H2O	Organic	Heated	Organic_Heated	BW.H.2.O	Y
H2	H2M	Mineral	Heated	Mineral_Heated	BW.H.2.M	Y
H3	H4O	Organic	Heated	Organic_Heated	BW.H.4.O	Y
H4	H4M	Mineral	Heated	Mineral_Heated	BW.H.4.M	Y
H5	H11O	Organic	Heated	Organic_Heated	BW.H.11.O	Y
H6	H11M	Mineral	Heated	Mineral_Heated	BW.H.11.M	Y
H7	H17O	Organic	Heated	Organic_Heated	BW.H.17.O	Y
H8	H17M	Mineral	Heated	Mineral_Heated	BW.H.17.M	Y
H9	H26O	Organic	Heated	Organic_Heated	BW.H.26.O	Y
H10	H26M	Mineral	Heated	Mineral_Heated	BW.H.26.M	Y
H11	H28O	Organic	Heated	Organic_Heated	BW.H.28.O	Y
H12	H28M	Mineral	Heated	Mineral_Heated	BW.H.28.M	Y
H13	H30O	Organic	Heated	Organic_Heated	BW.H.30.O	N
H14	H30M	Mineral	Heated	Mineral_Heated	BW.H.30.M	N
H15	H32O	Organic	Heated	Organic_Heated	BW.H.32.O	Y
H16	H32M	Mineral	Heated	Mineral_Heated	BW.H.32.M	Y
C1	C4O	Organic	Control	Organic_Control	BW.C.4.O	Y
C2	C4M	Mineral	Control	Mineral_Control	BW.C.4.M	Y
C3	C7O	Organic	Control	Organic_Control	BW.C.7.O	Y
C4	C7M	Mineral	Control	Mineral_Control	BW.C.7.M	Y
C5	C12O	Organic	Control	Organic_Control	BW.C.12.O	Y
C6	C12M	Mineral	Control	Mineral_Control	BW.C.12.M	Y
C7	C14O	Organic	Control	Organic_Control	BW.C.14.O	Y
C8	C14M	Mineral	Control	Mineral_Control	BW.C.14.M	Y
C9	C19O	Organic	Control	Organic_Control	BW.C.19.O	Y
C10	C19M	Mineral	Control	Mineral_Control	BW.C.19.M	Y
C11	C27O	Organic	Control	Organic_Control	BW.C.27.O	Y
C12	C27M	Mineral	Control	Mineral_Control	BW.C.27.M	Y
CS13	C30O	Organic	Control	Organic_Control	BW.C.30.O	Y
C14	C30M	Mineral	Control	Mineral_Control	BW.C.30.M	Y
C15	C34O	Organic	Control	Organic_Control	BW.C.34.O	N
C16	C34M	Mineral	Control	Mineral_Control	BW.C.34.M	N
